name,county,address,city,state,zip,lat,lng,hrs,hour_flag
Arapahoe County Administration Building,Arapahoe,5334 S Prince St,Littleton,CO,80120.0,39.619886,-105.01398,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Arapahoe County Aurora MV Office,Arapahoe,490 S Chambers Rd,Aurora,CO,80017.0,39.706525,-104.80747,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Arapahoe County CentrePoint Plaza,Arapahoe,14980 E Alameda Dr,Aurora,CO,80012.0,39.708669,-104.81457,Not Open; Not Open; Not Open,True
Arapahoe County CentrePoint Plaza,Arapahoe,14980 E Alameda Dr,Aurora,CO,80012.0,39.708669,-104.81457,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Arapahoe County Elections Facility,Arapahoe,5251 S Federal Blvd,Littleton,CO,80123.0,39.621322,-105.02952,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Arapahoe County Lima Plaza,Arapahoe,6954 S Lima St,Centennial,CO,80112.0,39.59008,-104.85628,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Aurora Center for Active Adults,Arapahoe,30 Del Mar Cir,Aurora,CO,80011.0,39.728767,-104.84697,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Beck Recreation Center,Arapahoe,800 Telluride St,Aurora,CO,80011.0,39.729471,-104.78181,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
Central Recreation Center,Arapahoe,18150 E Vassar Pl,Aurora,CO,80013.0,39.668097,-104.77561,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
City of Aurora,Arapahoe,15151 E Alameda Pkwy,Aurora,CO,80012.0,39.71082,-104.81245,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
City of Centennial,Arapahoe,13133 E Arapahoe Rd,Centennial,CO,80112.0,39.595766,-104.83591,Open 24 hours every day starting Monday; Open 24 hours every day; Open 24 hours every day,False
